paper_id,title,year,authors,venue_or_publisher,domain_bucket,platforms_named,mobile_relevant,AAF_subtype,adversary_goal,attack_target,evidence_kind,technique_summary,key_artifacts_or_signals,notes,needs_review,citation
P001,Generative Adversarial Attacks Against Deep-Learning-Based Camera Model Identification,2025,Chen Chen; Xinwei Zhao; Matthew C. Stamm,IEEE Transactions on Information Forensics and Security,Multimedia,Unspecified,No,Evasion,Mislead forensic source attribution by falsifying an image’s camera-model traces (targeted misattribution),Deep-learning camera model identification classifiers (CNN-based),Implemented+Evaluated,GAN-inspired generator trained to modify images so camera-model CNNs misclassify them as a chosen target camera model; supports white-box (uses classifier directly) and black-box (uses substitute network) attacks with high targeted success rates.,Camera-model forensic traces (including demosaicing/CFA-related traces and CNN-learned camera fingerprints),Journal volume shows 2025; manuscript history indicates earlier workflow dates; not mobile-focused.,No,46
P002,BDC-GAN: Bidirectional Conversion Between Computer-Generated and Natural Facial Images for Anti-Forensics,2022,Fei Peng; Liping Yin; Min Long,"IEEE Transactions on Circuits and Systems for Video Technology (Vol. 32, No. 10)",Multimedia,Unspecified,No,Generation,Degrade forensic discrimination between computer-generated (CG) and natural (NI) facial images by converting images across domains while preserving facial content,"CG vs NI facial-image forensic detectors (traditional feature-based and deep-learning-based, 9 methods)",Implemented+Evaluated,"BDC-GAN encodes content and sensor-pattern-noise separately, then swaps/interchanges noise between CG and NI to perform bidirectional CG↔NI conversion; uses multi-scale discriminators and combined noise/content/reconstruction/adversarial losses; evaluated against 9 forensic methods showing strong deception ability.",Sensor pattern noise / PRNU-like cues; texture/smoothness cues; deep-learning forensic features,Threat model targets NI/CG source detectors (not deepfake detection). Uses PES/FIFA/CelebA-based datasets; focuses on visual quality + detector bypass.,No,30
AAF-001,Evaluating the Efficacy of RGB-D Cameras for Surveillance,Not reported,"Raghuraman, Bahirat, Prabhakaran",IEEE,Multimedia,Windows;Unspecified,No,Generation,Create forged video streams showing individuals performing activities they did not do,RGB-D surveillance systems; depth-based re-identification systems,Implemented+Evaluated,"Real-time framework using depth segmentation, skeleton-based mesh deformation (random forest for pose), and 3D rendering to generate Type I (human insertion) and Type II (behavior manipulation) forgeries",Inter-frame noise patterns; edge artifacts in color images; texture stretching; occlusion anomalies,ML component limited to skeleton identification via random forest; primary techniques are traditional CV/graphics; user study showed 76% undetectable at low resolution,Yes,15
P001,SafePaint: Anti-forensic Image Inpainting with Domain Adaptation,2024,Dunyun Chen; Xin Liao; Xiaoshuai Wu; Shiwei Chen,MM '24: Proceedings of the 32nd ACM International Conference on Multimedia (ACM),Multimedia,Unspecified,No,Generation,Modify visual evidence (inpaint/remove/replace content) while minimizing forensic tampering traces.,Image inpainting / forgery detectors and their learned tampering-trace signals.,Implemented+Evaluated,Two-stage deep inpainting (content completion + region-wise optimization) trained end-to-end; uses domain adaptation (domain pattern extractor + domain distance loss) and region-wise separated attention (RWSA) to harmonize inpainted foreground with original background.,Tampering traces/heatmaps; manipulation masks; distribution mismatch between generated and original regions.,Paper explicitly proposes an end-to-end framework for anti-forensic image inpainting using domain adaptation and an RWSA module.,No,1
P001,SafePaint: Anti-forensic Image Inpainting with Domain Adaptation,2024,Dunyun Chen; Xin Liao; Xiaoshuai Wu; Shiwei Chen,MM '24: Proceedings of the 32nd ACM International Conference on Multimedia (ACM),Multimedia,Unspecified,No,Evasion,Evade forensic detection by reducing detectable distribution inconsistencies between inpainted and pristine regions.,"Pre-trained forensic detectors (PSCC-Net, TruFor, IID-Net) used to localize/score manipulations.",Implemented+Evaluated,Trains inpainting with anti-forensic objective: domain adaptation narrows foreground/background distribution gap; evaluation uses detector metrics where lower AUC/F1/ACC indicate better detection evasion.,Detector AUC/F1/ACC; detector heatmaps and predicted manipulation masks.,"Anti-forensic analysis evaluates evasion against PSCC-Net, TruFor, and IID-Net; SafePaint reports substantially lower detection metrics than prior inpainting methods.",No,1
P001,Anti-forensics of fake stereo audio using generative adversarial network,2022,Tianyun Liu; Diqun Yan; Nan Yan; Gang Chen,"Multimedia Tools and Applications (Springer Nature), Vol. 81, 17155–17167 (Published online: 5 March 2022)",Multimedia,Unspecified,No,Generation,Create high-quality fake stereo audio from mono audio by generating a synthetic “other channel”.,Stereo-faking forensics context (fake stereo audio detection) and downstream authenticity assessment.,Implemented+Evaluated,"GAN framework generates a new channel x' from mono x (SEGAN-inspired encoder–decoder with skip connections). Combine x and x' to form a fake stereo pair; trained on large music/film datasets (44.1 kHz, 16-bit WAV) to preserve perceptual quality.","Stereo channel relationship/correlation; waveform structure; perceptual quality measures (ABX, SSNR); distribution of generated vs real right-channel audio.",Uses skip connections to reduce information loss and improve perceived quality; evaluated with ABX (~51% average) and SSNR (~7.77).,No,28
P001,Anti-forensics of fake stereo audio using generative adversarial network,2022,Tianyun Liu; Diqun Yan; Nan Yan; Gang Chen,"Multimedia Tools and Applications (Springer Nature), Vol. 81, 17155–17167 (Published online: 5 March 2022)",Multimedia,Unspecified,No,Evasion,Deceive fake-stereo forensic detectors so the forged stereo is classified as “real stereo”.,Fake stereo audio detector in prior work: MFCC features + SVM classifier (models for MUSIC and FILM).,Implemented+Evaluated,Generated fake stereo samples are used as anti-forensic attacks against stereo-faking detectors. Reports large drops in detector accuracy and large increases in false acceptance; also demonstrates cross-database attacks (music↔film) retaining high attack effectiveness.,Detector decision metrics (ACC/FAR); MFCC-based feature space; left/right channel consistency learned by the detector.,Key reported effect (Table 1): MUSIC ACC ~99.25%→30.11% and FAR ~0.08%→69.89%; FILM ACC ~99.99%→1.70% and FAR ~0.02%→98.30%. Cross-database (Table 2) reduces ACC to ~5–6% with FAR ~94%.,No,28
P001,Synthesizing Black-Box Anti-Forensics DeepFakes with High Visual Quality,2024,Bing Fan; Shu Hu; Feng Ding,"ICASSP 2024 (IEEE), DOI: 10.1109/ICASSP48485.2024.10447611",Multimedia,Unspecified,No,Evasion,Evade DeepFake detectors while producing visually pleasing (sharpened) DeepFake images using adversarial sharpening masks.,"CNN-based DeepFake detectors (ResNet-50, DenseNet-121, EfficientNet, MobileNet, ShuffleNet, ConvNeXt, EfficientNet-SBIs) evaluated across Celeb-DF, DeeperForensics, and FaceForensics++ benchmarks.",Implemented+Evaluated,Two-stage GAN framework: (1) Forensics Disruption Network (FDN) learns an adversarial mask m such that synthesized images Is = If + m are highly undetectable; (2) Visual Enhancement Network (VEN) with MobileViT blocks refines to a sharpening adversarial mask m′ so outputs resemble naturally sharpened images while retaining high black-box anti-forensics performance. Compared against prior anti-forensics methods and tested against multiple pre-trained detectors.,"Adversarial masks (m, m′); detector prediction precision/accuracy; detector heatmaps; PSNR/SSIM; face-detection recognizability.","Reported results show strong detector disruption (e.g., prediction precision on fake images drops to low single/teens percentages for ‘ours’ across detectors/datasets) while maintaining high visual quality with sharpening (PSNR/SSIM competitive or improved).",No,28
,"```json
{
  ""title"": ""Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors""
}
```",,,,Multimedia,Unspecified,No,Generation,,,Implemented+Evaluated,,,,,
P001,Making DeepFakes More Spurious: Evading Deep Face Forgery Detection via Trace Removal Attack,2023,Chi Liu; Huajie Chen; Tianqing Zhu; Jun Zhang; Wanlei Zhou,"IEEE Transactions on Dependable and Secure Computing (TDSC), Vol. 20, No. 6 (Nov/Dec 2023), DOI: 10.1109/TDSC.2023.3241604",Multimedia,Unspecified,No,Trace_suppression,Bypass arbitrary/unknown DeepFake detectors by removing universal counterfeiting traces while preserving visual quality.,"DeepFake detectors (spatial, frequency, fingerprint, and ensemble detectors), including defended detectors via data augmentation.",Implemented+Evaluated,"Proposes a detector-agnostic 'trace removal' anti-forensics attack. Identifies three intrinsic DeepFake traces (spatial anomalies, spectral disparities, noise fingerprints) and trains an adversarial-learning Trace Removal Network (TR-Net) with one generator and multiple discriminators (one per trace domain) to remove all traces simultaneously. Uses semantically-closest real/fake pairs; optimizes adversarial loss plus perceptual similarity and PSD regularization. Evaluated against multiple detectors and heterogeneous defense/knowledge scenarios, showing strong cross-detector transferability with negligible visual degradation.","Spatial anomalies; spectral disparities (DFT amplitude/phase, PSD); noise/GAN fingerprints (SRM residuals, NCC correlations); detector accuracy; PSNR/SSIM","Key results reported: on undefended detectors, average detection accuracy drops from ~92% (clean) to ~23% (TR-Net) while achieving high visual quality (PSNR ~35.16 dB, SSIM ~0.988). Attack requires zero knowledge of the target detector and operates without querying it.",No,67
