paper_id,store_type,category
1,SQLite/WAL,AW
1,SQLite/WAL,TO
1,Backup/Cloud,AW
1,Backup/Cloud,TO
1,Other,AW
1,Other,TO
2,Logs,DH
3,Other,AW
4,FS-metadata,AW
4,XML/plist,AW
4,Cache/Thumbnails,AW
4,Other,AW
4,Logs,AW
5,SQLite/WAL,AW
6,Logs,AW
6,Other,AW
7,Cache/Thumbnails,DH
8,FS-metadata,DH
8,FS-metadata,AT
9,FS-metadata,DH
9,FS-metadata,AW
10,Other,DH
11,XML/plist,DH
11,Other,DH
12,Logs,AW
12,Logs,TO
12,Other,AW
12,Other,TO
13,SQLite/WAL,AW
13,SQLite/WAL,TO
13,SQLite/WAL,DH
13,Other,AW
13,Other,TO
13,Other,DH
13,XML/plist,AW
13,XML/plist,TO
13,XML/plist,DH
14,SQLite/WAL,AT
14,SQLite/WAL,TO
14,Logs,AT
14,Logs,TO
15,Logs,TO
15,Logs,AW
15,Other,TO
15,Other,AW
16,Cache/Thumbnails,AW
16,Cache/Thumbnails,TO
16,Cache/Thumbnails,DH
16,FS-metadata,AW
16,FS-metadata,TO
16,FS-metadata,DH
16,Other,AW
16,Other,TO
16,Other,DH
17,SQLite/WAL,AW
17,SQLite/WAL,DH
17,SQLite/WAL,AT
18,SQLite/WAL,DH
18,Cache/Thumbnails,DH
